Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
1,Exit long,2009-02-16 09:15,EXIT - Basso Stop,4456.55,15,68943.75,-75718.86,-3.14,2862.23,0.12,-197162.77,-8.17,-75718.86,-1.51
1,Entry long,2009-02-13 13:15,ENTRY-15L,4596.25,15,68943.75,-75718.86,-3.14,2862.23,0.12,-197162.77,-8.17,-75718.86,-1.51
2,Exit long,2009-03-24 13:15,EXIT - Basso Stop,4047.35,14,55206.2,49026.79,2.54,114698.39,5.93,-10888.61,-0.56,-26764.85,-0.54
2,Entry long,2009-03-23 14:15,EOD-ENTRY-14L,3943.3,14,55206.2,49026.79,2.54,114698.39,5.93,-10888.61,-0.56,-26764.85,-0.54
3,Exit long,2009-03-24 13:15,EXIT - Basso Stop,4047.35,1,4158.75,-4042.61,-2.78,648.22,0.45,-4159.03,-2.86,-30734.68,-0.61
3,Entry long,2009-03-24 10:15,PYR1-1L,4158.75,1,4158.75,-4042.61,-2.78,648.22,0.45,-4159.03,-2.86,-30734.68,-0.61
4,Exit long,2009-04-01 09:15,EXIT - Basso Stop,4031.75,11,46697.75,-83790.82,-5.12,21994.04,1.35,-96354.96,-5.89,-114525.5,-2.29
4,Entry long,2009-03-26 11:15,ENTRY-11L,4245.25,11,46697.75,-83790.82,-5.12,21994.04,1.35,-96354.96,-5.89,-114525.5,-2.29
5,Exit long,2009-04-08 09:15,EXIT - Basso Stop,4274.7,6,26348.1,-25406.44,-2.75,43355.41,4.70,-30564.59,-3.31,-139931.94,-2.80
5,Entry long,2009-04-02 09:15,ENTRY-6L,4391.35,6,26348.1,-25406.44,-2.75,43355.41,4.70,-30564.59,-3.31,-139931.94,-2.80
6,Exit long,2009-04-16 12:15,EXIT - Basso Stop,4932.75,13,62856.3,42208.56,1.92,143817.52,6.53,-66187.73,-3.01,-97723.37,-1.95
6,Entry long,2009-04-13 14:15,EOD-ENTRY-13L,4835.1,13,62856.3,42208.56,1.92,143817.52,6.53,-66187.73,-3.01,-97723.37,-1.95
7,Exit long,2009-04-28 11:15,EXIT - Basso Stop,5095.55,10,50092.5,28436.66,1.62,98523.38,5.62,-23364.12,-1.33,-69286.71,-1.39
7,Entry long,2009-04-23 15:15,EOD-ENTRY-10L,5009.25,10,50092.5,28436.66,1.62,98523.38,5.62,-23364.12,-1.33,-69286.71,-1.39
8,Exit long,2009-05-06 14:15,EXIT - Basso Stop,5411.3,6,32275.5,5597.49,0.50,55452.68,4.91,-8807.32,-0.78,-63689.22,-1.27
8,Entry long,2009-05-04 09:15,ENTRY-6L,5379.25,6,32275.5,5597.49,0.50,55452.68,4.91,-8807.32,-0.78,-63689.22,-1.27
9,Exit long,2009-05-13 11:15,EXIT - Basso Stop,5504.75,11,61657.75,-40831.18,-1.89,8449.74,0.39,-40734.01,-1.89,-104520.39,-2.09
9,Entry long,2009-05-12 15:15,EOD-ENTRY-11L,5605.25,11,61657.75,-40831.18,-1.89,8449.74,0.39,-40734.01,-1.89,-104520.39,-2.09
10,Exit long,2009-05-20 13:15,EXIT - Basso Stop,7189.3,11,61987.75,595840.5,27.45,755343.94,34.80,-8496.03,-0.39,490241.72,9.80
10,Entry long,2009-05-15 10:15,ENTRY-11L,5635.25,11,61987.75,595840.5,27.45,755343.94,34.80,-8496.03,-0.39,490241.72,9.80
11,Exit long,2009-05-20 13:15,EXIT - Basso Stop,7189.3,1,6276,31729.86,14.44,46230.17,21.04,-118.58,-0.05,522081.4,10.44
11,Entry long,2009-05-18 09:15,PYR1-1L,6276,1,6276,31729.86,14.44,46230.17,21.04,-118.58,-0.05,522081.4,10.44
12,Exit long,2009-05-20 13:15,EXIT - Basso Stop,7189.3,4,27386,47009.49,4.90,105010.74,10.95,-27989.26,-2.92,569570.2,11.39
12,Entry long,2009-05-18 11:15,PYR2-4L,6846.5,4,27386,47009.49,4.90,105010.74,10.95,-27989.26,-2.92,569570.2,11.39
13,Exit long,2009-05-20 13:15,EXIT - Basso Stop,7189.3,4,27961,26874.43,2.74,84875.68,8.67,-6096.32,-0.62,596933.94,11.94
13,Entry long,2009-05-19 09:15,PYR3-4L,6990.25,4,27961,26874.43,2.74,84875.68,8.67,-6096.32,-0.62,596933.94,11.94
14,Exit long,2009-06-22 14:15,EXIT - Basso Stop,7201.75,7,51627.45,-44317.69,-2.45,7585.77,0.42,-45726.23,-2.53,552616.25,11.05
14,Entry long,2009-06-22 10:15,ENTRY-7L,7375.35,7,51627.45,-44317.69,-2.45,7585.77,0.42,-45726.23,-2.53,552616.25,11.05
15,Exit long,2009-06-30 10:15,EXIT - Basso Stop,7442.7,10,72662.5,59183.43,2.33,123240.91,4.84,-6189.09,-0.24,610379.1,12.21
15,Entry long,2009-06-26 12:15,ENTRY-10L,7266.25,10,72662.5,59183.43,2.33,123240.91,4.84,-6189.09,-0.24,610379.1,12.21
16,Exit long,2009-06-30 10:15,EXIT - Basso Stop,7442.7,5,36601.25,20136.99,1.57,52165.73,4.07,-2259.27,-0.18,631156.6,12.62
16,Entry long,2009-06-26 13:15,PYR1-5L,7320.25,5,36601.25,20136.99,1.57,52165.73,4.07,-2259.27,-0.18,631156.6,12.62
17,Exit long,2009-06-30 10:15,EXIT - Basso Stop,7442.7,5,37031.25,5079.47,0.39,37108.2,2.86,-6466.8,-0.50,636884.2,12.74
