Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
1,Exit long,2015-03-23 10:00,EXIT - Basso Stop,26123,43,1127460,-52963.75,-0.47,6832.7,0.06,-57667.3,-0.51,-52963.75,-1.06
1,Entry long,2015-03-20 21:00,ENTRY-43L,26220,43,1127460,-52963.75,-0.47,6832.7,0.06,-57667.3,-0.51,-52963.75,-1.06
2,Exit long,2015-04-02 19:00,EXIT - Basso Stop,26511,38,1009470,-30604.44,-0.30,45112.65,0.45,-34307.35,-0.34,-83568.19,-1.67
2,Entry long,2015-04-01 19:00,ENTRY-38L,26565,38,1009470,-30604.44,-0.30,45112.65,0.45,-34307.35,-0.34,-83568.19,-1.67
3,Exit long,2015-04-07 13:00,EXIT - Basso Stop,26833,29,778621,-12423.89,-0.16,50916.9,0.65,-10273.1,-0.13,-95992.08,-1.92
3,Entry long,2015-04-06 10:00,ENTRY-29L,26849,29,778621,-12423.89,-0.16,50916.9,0.65,-10273.1,-0.13,-95992.08,-1.92
4,Exit long,2015-04-20 19:00,EXIT - Basso Stop,26687,65,1738100,-51813.77,-0.30,62159.5,0.36,-54190.5,-0.31,-147805.84,-2.96
4,Entry long,2015-04-20 10:00,ENTRY-65L,26740,65,1738100,-51813.77,-0.30,62159.5,0.36,-54190.5,-0.31,-147805.84,-2.96
5,Exit long,2015-04-30 18:00,EXIT - Basso Stop,26876,50,1350300,-78470.5,-0.58,134748.5,1.00,-84751.5,-0.63,-226276.34,-4.53
5,Entry long,2015-04-28 19:00,ENTRY-50L,27006,50,1350300,-78470.5,-0.58,134748.5,1.00,-84751.5,-0.63,-226276.34,-4.53
6,Exit long,2015-05-05 23:00,EXIT - Basso Stop,26882,62,1672636,-76216.6,-0.46,20776.82,0.12,-67883.18,-0.41,-302492.94,-6.05
6,Entry long,2015-05-05 18:00,ENTRY-62L,26978,62,1672636,-76216.6,-0.46,20776.82,0.12,-67883.18,-0.41,-302492.94,-6.05
7,Exit long,2015-05-15 13:00,EXIT - Basso Stop,27388,39,1058616,84526.26,0.80,172156.92,1.63,-36883.08,-0.35,-217966.69,-4.36
7,Entry long,2015-05-12 15:00,ENTRY-39L,27144,39,1058616,84526.26,0.80,172156.92,1.63,-36883.08,-0.35,-217966.69,-4.36
8,Exit long,2015-06-16 19:00,EXIT - Basso Stop,26787,50,1344500,-64919.25,-0.48,46777.5,0.35,-71722.5,-0.53,-282885.94,-5.66
8,Entry long,2015-06-15 20:00,ENTRY-50L,26890,50,1344500,-64919.25,-0.48,46777.5,0.35,-71722.5,-0.53,-282885.94,-5.66
9,Exit long,2015-06-19 15:00,EXIT - Basso Stop,26953,59,1589460,-8228.43,-0.05,98252.7,0.62,-23287.3,-0.15,-291114.38,-5.82
9,Entry long,2015-06-18 13:00,ENTRY-59L,26940,59,1589460,-8228.43,-0.05,98252.7,0.62,-23287.3,-0.15,-291114.38,-5.82
10,Exit long,2015-08-13 23:00,EXIT - Basso Stop,25736,48,1202208,319012.3,2.65,414948.97,3.45,-34811.04,-0.29,27897.95,0.56
10,Entry long,2015-08-10 20:00,ENTRY-48L,25046,48,1202208,319012.3,2.65,414948.97,3.45,-34811.04,-0.29,27897.95,0.56
11,Exit long,2015-08-28 20:00,EXIT - Basso Stop,26475,26,691288,-36278.19,-0.52,0,0.00,-36216.44,-0.52,-8380.25,-0.17
11,Entry long,2015-08-28 19:00,ENTRY-26L,26588,26,691288,-36278.19,-0.52,0,0.00,-36216.44,-0.52,-8380.25,-0.17
12,Exit long,2015-09-17 18:00,EXIT - Basso Stop,26189,46,1209340,-58530.17,-0.48,29373.3,0.24,-81026.7,-0.67,-66910.41,-1.34
12,Entry long,2015-09-16 19:00,ENTRY-46L,26290,46,1209340,-58530.17,-0.48,29373.3,0.24,-81026.7,-0.67,-66910.41,-1.34
13,Exit long,2015-09-21 16:00,EXIT - Basso Stop,26392,44,1161160,-10732.04,-0.09,82634.2,0.71,-38365.8,-0.33,-77642.45,-1.55
13,Entry long,2015-09-18 10:00,ENTRY-44L,26390,44,1161160,-10732.04,-0.09,82634.2,0.71,-38365.8,-0.33,-77642.45,-1.55
14,Exit long,2015-09-25 17:00,EXIT - Basso Stop,26690,63,1668240,115551.45,0.69,368398.8,2.21,-27241.2,-0.16,37909,0.76
14,Entry long,2015-09-23 22:00,ENTRY-63L,26480,63,1668240,115551.45,0.69,368398.8,2.21,-27241.2,-0.16,37909,0.76
15,Exit long,2015-10-07 13:00,EXIT - Basso Stop,26500,38,1007874,-18814.37,-0.19,52720.63,0.52,-19479.37,-0.19,19094.63,0.38
15,Entry long,2015-10-06 18:00,ENTRY-38L,26523,38,1007874,-18814.37,-0.19,52720.63,0.52,-19479.37,-0.19,19094.63,0.38
16,Exit long,2015-10-13 10:00,EXIT - Basso Stop,26583,41,1096135,-73250.19,-0.67,29369.32,0.27,-100600.67,-0.92,-54155.57,-1.08
16,Entry long,2015-10-12 11:00,ENTRY-41L,26735,41,1096135,-73250.19,-0.67,29369.32,0.27,-100600.67,-0.92,-54155.57,-1.08
17,Exit long,2015-10-14 15:00,EXIT - Basso Stop,26849,62,1664886,-19127.62,-0.11,141715.56,0.85,-34984.43,-0.21,-73283.19,-1.47
17,Entry long,2015-10-13 19:00,ENTRY-62L,26853,62,1664886,-19127.62,-0.11,141715.56,0.85,-34984.43,-0.21,-73283.19,-1.47
18,Exit long,2015-10-16 10:00,EXIT - Basso Stop,27016,33,896379,-57449.53,-0.64,16968.11,0.19,-78071.9,-0.87,-130732.72,-2.61
18,Entry long,2015-10-14 23:00,ENTRY-33L,27163,33,896379,-57449.53,-0.64,16968.11,0.19,-78071.9,-0.87,-130732.72,-2.61
19,Exit long,2015-10-21 19:00,EXIT - Basso Stop,26834,64,1727040,-113862.08,-0.66,52164.8,0.30,-112315.2,-0.65,-244594.8,-4.89
19,Entry long,2015-10-20 16:00,ENTRY-64L,26985,64,1727040,-113862.08,-0.66,52164.8,0.30,-112315.2,-0.65,-244594.8,-4.89
20,Exit long,2015-10-29 10:00,EXIT - Basso Stop,26604,63,1688400,-140302.27,-0.83,138348,0.82,-196812,-1.17,-384897.06,-7.70
