Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
1,Exit long,2009-03-24 14:15,EXIT - Below ST,3984,15,62130,-87216.15,-4.01,17434.2,0.80,-88143.3,-4.05,-87216.15,-1.74
1,Entry long,2009-03-24 09:15,ENTRY-15L,4142,15,62130,-87216.15,-4.01,17434.2,0.80,-88143.3,-4.05,-87216.15,-1.74
2,Exit long,2009-04-01 09:15,EXIT - Below ST,4062.5,23,97359,-143930.38,-4.22,54149.93,1.59,-193307.06,-5.67,-232946.27,-4.66
2,Entry long,2009-03-26 11:45,ENTRY-23L,4233,23,97359,-143930.38,-4.22,54149.93,1.59,-193307.06,-5.67,-232946.27,-4.66
3,Exit long,2009-04-01 09:15,EXIT - Below ST,4062.5,12,51421.2,-96997.99,-5.38,0,0.00,-122759.74,-6.81,-328144.53,-6.56
3,Entry long,2009-03-26 14:15,PYR1-12L,4285.1,12,51421.2,-96997.99,-5.38,0,0.00,-122759.74,-6.81,-328144.53,-6.56
4,Exit long,2009-04-08 09:15,EXIT - Below ST,4291,13,57512,-64480.32,-3.20,78067.08,3.87,-82092.92,-4.07,-394206.62,-7.88
4,Entry long,2009-04-02 09:15,ENTRY-13L,4424,13,57512,-64480.32,-3.20,78067.08,3.87,-82092.92,-4.07,-394206.62,-7.88
5,Exit long,2009-04-08 09:15,EXIT - Below ST,4291,7,31409,-50170.61,-4.56,26585.69,2.42,-59654.32,-5.42,-443277.9,-8.87
5,Entry long,2009-04-02 13:00,PYR1-7L,4487,7,31409,-50170.61,-4.56,26585.69,2.42,-59654.32,-5.42,-443277.9,-8.87
6,Exit long,2009-04-08 09:15,EXIT - Below ST,4291,3,13784.4,-32832.01,-6.80,63.55,0.01,-36896.45,-7.64,-475627.47,-9.51
6,Entry long,2009-04-06 09:15,PYR2-3L,4594.8,3,13784.4,-32832.01,-6.80,63.55,0.01,-36896.45,-7.64,-475627.47,-9.51
7,Exit long,2009-04-16 14:15,EXIT - Below ST,4907,13,62660,35159.21,1.60,149594.9,6.81,-60410.35,-2.75,-442191.72,-8.84
7,Entry long,2009-04-13 10:30,ENTRY-13L,4820,13,62660,35159.21,1.60,149594.9,6.81,-60410.35,-2.75,-442191.72,-8.84
8,Exit long,2009-04-16 14:15,EXIT - Below ST,4907,7,34286.7,-221.75,-0.02,61397.47,5.11,-6614.53,-0.55,-441213.44,-8.82
8,Entry long,2009-04-15 11:45,PYR1-7L,4898.1,7,34286.7,-221.75,-0.02,61397.47,5.11,-6614.53,-0.55,-441213.44,-8.82
9,Exit long,2009-04-16 14:15,EXIT - Below ST,4907,3,14955,-9228.66,-1.76,17179.57,3.28,-11968.42,-2.28,-449918.66,-9.00
9,Entry long,2009-04-15 13:00,PYR2-3L,4985,3,14955,-9228.66,-1.76,17179.57,3.28,-11968.42,-2.28,-449918.66,-9.00
10,Exit long,2009-04-28 13:00,EXIT - Below ST,4987,13,67028,-81510.06,-3.47,60102.77,2.56,-89250.98,-3.80,-532719.9,-10.65
10,Entry long,2009-04-27 09:15,ENTRY-13L,5156,13,67028,-81510.06,-3.47,60102.77,2.56,-89250.98,-3.80,-532719.9,-10.65
