Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
1,Exit long,2009-03-24 13:00,EXIT - Basso Stop,4047.6,10,41420,-34473.18,-2.38,12347.65,0.85,-35724.85,-2.46,-34473.18,-0.69
1,Entry long,2009-03-24 09:15,ENTRY-10L,4142,10,41420,-34473.18,-2.38,12347.65,0.85,-35724.85,-2.46,-34473.18,-0.69
2,Exit long,2009-04-01 09:15,EXIT - Basso Stop,4062.5,15,63495,-91690.07,-4.12,36426.34,1.64,-124958.66,-5.62,-126163.25,-2.52
2,Entry long,2009-03-26 11:45,ENTRY-15L,4233,15,63495,-91690.07,-4.12,36426.34,1.64,-124958.66,-5.62,-126163.25,-2.52
3,Exit long,2009-04-08 09:15,EXIT - Basso Stop,4291,8,35392,-38460.1,-3.10,48660.64,3.93,-49899.36,-4.03,-164623.34,-3.29
3,Entry long,2009-04-02 09:15,ENTRY-8L,4424,8,35392,-38460.1,-3.10,48660.64,3.93,-49899.36,-4.03,-164623.34,-3.29
4,Exit long,2009-04-21 09:15,EXIT - Basso Stop,4912.15,8,38560,24439.5,1.81,107685.2,7.98,-36500.8,-2.70,-140183.84,-2.80
4,Entry long,2009-04-13 10:30,ENTRY-8L,4820,8,38560,24439.5,1.81,107685.2,7.98,-36500.8,-2.70,-140183.84,-2.80
5,Exit long,2009-04-28 13:00,EXIT - Basso Stop,4987,8,41248,-48740.02,-3.37,37708.16,2.61,-54201.84,-3.75,-188923.88,-3.78
5,Entry long,2009-04-27 09:15,ENTRY-8L,5156,8,41248,-48740.02,-3.37,37708.16,2.61,-54201.84,-3.75,-188923.88,-3.78
6,Exit long,2009-05-08 11:45,EXIT - Basso Stop,5390,7,37884,-6713.24,-0.51,56667.03,4.27,-18302.97,-1.38,-195637.11,-3.91
6,Entry long,2009-05-04 09:15,ENTRY-7L,5412,7,37884,-6713.24,-0.51,56667.03,4.27,-18302.97,-1.38,-195637.11,-3.91
7,Exit long,2009-05-13 11:45,EXIT - Basso Stop,5491,9,50445,-37657.62,-2.13,6992.21,0.40,-46557.79,-2.64,-233294.73,-4.67
7,Entry long,2009-05-12 14:15,EOD-ENTRY-9L,5605,9,50445,-37657.62,-2.13,6992.21,0.40,-46557.79,-2.64,-233294.73,-4.67
8,Exit long,2009-05-20 09:15,EXIT - Basso Stop,7215,2,11296,109239.8,27.62,136442.31,34.49,-1177.68,-0.30,-126077.21,-2.52
8,Entry long,2009-05-15 10:30,ENTRY-11L,5648,2,11296,109239.8,27.62,136442.31,34.49,-1177.68,-0.30,-126077.21,-2.52
9,Exit long,2009-05-21 10:30,EXIT - Basso Stop,7030,9,50832,433333.22,24.34,613990.44,34.49,-5299.56,-0.30,308145.56,6.16
9,Entry long,2009-05-15 10:30,ENTRY-11L,5648,9,50832,433333.22,24.34,613990.44,34.49,-5299.56,-0.30,308145.56,6.16
10,Exit long,2009-05-21 10:30,EXIT - Basso Stop,7030,2,13692.5,12376.83,2.58,52522.88,10.95,-13977.12,-2.92,320762,6.42
10,Entry long,2009-05-18 11:45,PYR1-2L,6846.25,2,13692.5,12376.83,2.58,52522.88,10.95,-13977.12,-2.92,320762,6.42
11,Exit long,2009-05-21 10:30,EXIT - Basso Stop,7030,2,14440,-13798.75,-2.73,26347.3,5.21,-17822.7,-3.52,307215.97,6.14
11,Entry long,2009-05-19 09:15,PYR2-5L,7220,2,14440,-13798.75,-2.73,26347.3,5.21,-17822.7,-3.52,307215.97,6.14
12,Exit long,2009-05-21 10:30,EXIT - Basso Stop,7030,3,21660,-20698.12,-2.73,39520.95,5.21,-26734.05,-3.52,286896.88,5.74
12,Entry long,2009-05-19 09:15,PYR2-5L,7220,3,21660,-20698.12,-2.73,39520.95,5.21,-26734.05,-3.52,286896.88,5.74
13,Exit long,2009-05-21 10:30,EXIT - Basso Stop,7030,2,14934,-31097.39,-5.95,9048.66,1.73,-35121.34,-6.72,256060.84,5.12
13,Entry long,2009-05-19 11:45,PYR3-2L,7467,2,14934,-31097.39,-5.95,9048.66,1.73,-35121.34,-6.72,256060.84,5.12
14,Exit long,2009-06-22 14:15,EXIT - Basso Stop,7172.2,8,59147.6,-63989.19,-3.09,0,0.00,-63601.08,-3.07,192071.64,3.84
14,Entry long,2009-06-22 10:30,ENTRY-8L,7393.45,8,59147.6,-63989.19,-3.09,0,0.00,-63601.08,-3.07,192071.64,3.84
15,Exit long,2009-06-30 10:30,EXIT - Basso Stop,7406.3,11,80520,30390.69,1.08,114860.9,4.07,-4874.1,-0.17,221422.11,4.43
15,Entry long,2009-06-26 13:00,ENTRY-11L,7320,11,80520,30390.69,1.08,114860.9,4.07,-4874.1,-0.17,221422.11,4.43
16,Exit long,2009-06-30 10:30,EXIT - Basso Stop,7406.3,5,37025,-1068.49,-0.08,37327.06,2.88,-6247.94,-0.48,221001.56,4.42
16,Entry long,2009-06-26 14:15,PYR1-5L,7405,5,37025,-1068.49,-0.08,37327.06,2.88,-6247.94,-0.48,221001.56,4.42
17,Exit long,2009-06-30 10:30,EXIT - Basso Stop,7406.3,3,22416,-7679.61,-0.98,15357.72,1.96,-7290.78,-0.93,213714.23,4.27
17,Entry long,2009-06-29 10:30,PYR2-3L,7472,3,22416,-7679.61,-0.98,15357.72,1.96,-7290.78,-0.93,213714.23,4.27
18,Exit long,2009-07-06 10:30,EXIT - Basso Stop,7457.9,12,91200,-62844.16,-1.97,38304,1.20,-63714,-2.00,150870.08,3.02
18,Entry long,2009-07-06 09:15,ENTRY-12L,7600,12,91200,-62844.16,-1.97,38304,1.20,-63714,-2.00,150870.08,3.02
19,Exit long,2009-07-16 10:30,EXIT - Basso Stop,6855.5,8,55712,-32314.73,-1.66,23385.04,1.20,-31494.96,-1.61,118555.34,2.37
19,Entry long,2009-07-15 14:15,EOD-ENTRY-8L,6964,8,55712,-32314.73,-1.66,23385.04,1.20,-31494.96,-1.61,118555.34,2.37
20,Exit long,2009-07-22 13:00,EXIT - Basso Stop,7346.55,9,64008,71606.03,3.19,157324.86,7.02,-9325.89,-0.42,188888.27,3.78
20,Entry long,2009-07-17 10:30,ENTRY-9L,7112,9,64008,71606.03,3.19,157324.86,7.02,-9325.89,-0.42,188888.27,3.78
21,Exit long,2009-07-22 13:00,EXIT - Basso Stop,7346.55,4,28808,19218.6,1.91,57315.86,5.68,-2604.14,-0.26,208611,4.17
21,Entry long,2009-07-17 13:00,PYR1-4L,7202,4,28808,19218.6,1.91,57315.86,5.68,-2604.14,-0.26,208611,4.17
22,Exit long,2009-07-22 13:00,EXIT - Basso Stop,7346.55,4,29108,8713.35,0.85,46810.61,4.59,-2189.39,-0.21,217833.73,4.36
22,Entry long,2009-07-20 10:30,PYR2-4L,7277,4,29108,8713.35,0.85,46810.61,4.59,-2189.39,-0.21,217833.73,4.36
23,Exit long,2009-07-22 13:00,EXIT - Basso Stop,7346.55,2,14833.4,-5427.21,-1.04,13621.42,2.62,-8075.08,-1.55,212666.11,4.25
23,Entry long,2009-07-20 11:45,PYR3-2L,7416.7,2,14833.4,-5427.21,-1.04,13621.42,2.62,-8075.08,-1.55,212666.11,4.25
24,Exit long,2009-08-05 09:15,EXIT - Basso Stop,7604,6,45390,6597.26,0.42,33435.68,2.10,-14234.32,-0.90,217660.75,4.35
24,Entry long,2009-07-31 09:15,ENTRY-12L,7565,6,45390,6597.26,0.42,33435.68,2.10,-14234.32,-0.90,217660.75,4.35
25,Exit long,2009-08-06 14:15,EXIT - Basso Stop,7455,6,45390,-24677.1,-1.55,33435.68,2.10,-28094.32,-1.77,193777.98,3.88
25,Entry long,2009-07-31 09:15,ENTRY-12L,7565,6,45390,-24677.1,-1.55,33435.68,2.10,-28094.32,-1.77,193777.98,3.88
26,Exit long,2009-08-06 14:15,EXIT - Basso Stop,7455,6,46188,-52621.07,-3.25,5491.71,0.34,-56038.29,-3.46,141965.2,2.84
26,Entry long,2009-08-03 14:15,PYR1-6L,7698,6,46188,-52621.07,-3.25,5491.71,0.34,-56038.29,-3.46,141965.2,2.84
27,Exit long,2009-08-14 11:45,EXIT - Basso Stop,7408,6,44424,-715.26,-0.05,24002.58,1.54,-12463.92,-0.80,139684.5,2.79
27,Entry long,2009-08-13 11:45,ENTRY-12L,7404,6,44424,-715.26,-0.05,24002.58,1.54,-12463.92,-0.80,139684.5,2.79
28,Exit long,2009-08-17 09:15,EXIT - Basso Stop,7255.8,6,44424,-32661.28,-2.10,24002.58,1.54,-38052.42,-2.45,107800.64,2.16
28,Entry long,2009-08-13 11:45,ENTRY-12L,7404,6,44424,-32661.28,-2.10,24002.58,1.54,-38052.42,-2.45,107800.64,2.16
29,Exit long,2009-08-17 09:15,EXIT - Basso Stop,7255.8,6,45030,-53881.88,-3.42,2781.98,0.18,-59273.02,-3.76,54706.78,1.09
29,Entry long,2009-08-13 14:15,PYR1-6L,7505,6,45030,-53881.88,-3.42,2781.98,0.18,-59273.02,-3.76,54706.78,1.09
30,Exit long,2009-08-25 10:30,EXIT - Basso Stop,7387.05,12,88620,-2241.13,-0.07,71949.15,2.32,-5330.85,-0.17,52202.63,1.04
30,Entry long,2009-08-21 14:15,EOD-ENTRY-12L,7385,12,88620,-2241.13,-0.07,71949.15,2.32,-5330.85,-0.17,52202.63,1.04
