Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
1,Exit long,2009-03-24 14:15,EXIT - Below ST,3984,15,62130,-87216.15,-4.01,17434.2,0.80,-88143.3,-4.05,-87216.15,-1.74
1,Entry long,2009-03-24 09:15,ENTRY-15L,4142,15,62130,-87216.15,-4.01,17434.2,0.80,-88143.3,-4.05,-87216.15,-1.74
2,Exit long,2009-04-01 09:15,EXIT - Trail to PYR1,4062.5,23,97359,-143930.38,-4.22,54149.93,1.59,-193307.06,-5.67,-232946.27,-4.66
2,Entry long,2009-03-26 11:45,ENTRY-23L,4233,23,97359,-143930.38,-4.22,54149.93,1.59,-193307.06,-5.67,-232946.27,-4.66
3,Exit long,2009-04-01 09:15,EXIT - Below ST,4062.5,12,51421.2,-96997.99,-5.38,0,0.00,-122759.74,-6.81,-328144.53,-6.56
3,Entry long,2009-03-26 14:15,PYR1-12L,4285.1,12,51421.2,-96997.99,-5.38,0,0.00,-122759.74,-6.81,-328144.53,-6.56
4,Exit long,2009-04-02 14:15,EXIT - Trail to PYR1,4428,13,57512,-2207.66,-0.11,33317.83,1.65,-12477.92,-0.62,-331451.5,-6.63
4,Entry long,2009-04-02 09:15,ENTRY-13L,4424,13,57512,-2207.66,-0.11,33317.83,1.65,-12477.92,-0.62,-331451.5,-6.63
5,Exit long,2009-04-06 10:30,EXIT - Trail to PYR2,4500,7,31409,983.19,0.09,26585.69,2.42,-21189.31,-1.93,-329851.44,-6.60
5,Entry long,2009-04-02 13:00,PYR1-7L,4487,7,31409,983.19,0.09,26585.69,2.42,-21189.31,-1.93,-329851.44,-6.60
6,Exit long,2009-04-08 09:15,EXIT - Below ST,4291,3,13784.4,-32832.01,-6.80,63.55,0.01,-36896.45,-7.64,-362201,-7.24
6,Entry long,2009-04-06 09:15,PYR2-3L,4594.8,3,13784.4,-32832.01,-6.80,63.55,0.01,-36896.45,-7.64,-362201,-7.24
7,Exit long,2009-04-16 09:15,EXIT - Trail to PYR3,5044,3,14460,22484.28,4.44,34521.9,6.81,-13940.85,-2.75,-343127.2,-6.86
7,Entry long,2009-04-13 10:30,ENTRY-13L,4820,3,14460,22484.28,4.44,34521.9,6.81,-13940.85,-2.75,-343127.2,-6.86
8,Exit long,2009-04-21 10:30,EXIT - Trail to PYR1,4895.1,10,48200,22884.72,1.36,133763,7.92,-46469.5,-2.75,-318555.47,-6.37
8,Entry long,2009-04-13 10:30,ENTRY-13L,4820,10,48200,22884.72,1.36,133763,7.92,-46469.5,-2.75,-318555.47,-6.37
9,Exit long,2009-04-21 10:30,EXIT - Trail to PYR1,4895.1,3,14694.3,-1343.29,-0.26,31920.2,6.20,-9764.8,-1.90,-319384.47,-6.39
9,Entry long,2009-04-15 11:45,PYR1-7L,4898.1,3,14694.3,-1343.29,-0.26,31920.2,6.20,-9764.8,-1.90,-319384.47,-6.39
10,Exit long,2025-11-10 14:15,Open,58220.6,4,19592.4,7456313.5,1086.26,7549780.5,1099.88,-51442.73,-7.49,7136929,142.74
10,Entry long,2009-04-15 11:45,PYR1-7L,4898.1,4,19592.4,7456313.5,1086.26,7549780.5,1099.88,-51442.73,-7.49,7136929,142.74
11,Exit long,2025-11-10 14:15,Open,58220.6,3,14955,5583101.5,1065.58,5653201.5,1078.96,-47715.68,-9.11,5263717,105.27
11,Entry long,2009-04-15 13:00,PYR2-3L,4985,3,14955,5583101.5,1065.58,5653201.5,1078.96,-47715.68,-9.11,5263717,105.27
